geometry	platform_type	platform	campaign_id	date_time_start	date_time_end	parameter_list	parameter_dict	device_list	registry_uri_list	data_url	platform_photo_url
POINT(10.152000 54.332417)	Marina	Badesteg Reventlou	MA-REVENTLOU-C1	2024-08-26T00:00:00+00:00		" [""Water temperature (°C)"", ""Water level (m)""]"	"{""Water temperature"": {""unit"": ""°C""}, ""Water level"": {""unit"": ""m""}}	"	"[""T-WL-BOX""]"	"[""https://registry.o2a-data.de/items/12163""]"	https://www.soop-platform.earth/marinas/	https://raw.githubusercontent.com/mopyn/SOOP-Data-Portal/main/images/marinas/Badesteg%20Reventlou.png
POINT(10.981889 54.376556)	Marina	Marina Heiligenhafen	MA-HEILIGENHA-C1	2025-04-09T00:00:00+00:00		" [""Water temperature (°C)"", ""Water level (m)""]"	"{""Water temperature"": {""unit"": ""°C""}, ""Water level"": {""unit"": ""m""}}	"	"[""T-WL-BOX""]"	"[""https://registry.o2a-data.de/items/12903""]"	https://www.soop-platform.earth/marinas/	https://raw.githubusercontent.com/mopyn/SOOP-Data-Portal/main/images/marinas/Marina%20Heiligenhafen.png
POINT(10.286611 55.023972)	Marina	Marina Avernakø	MA-AVERNAKØ-C1-25			" [""Water temperature (°C)"", ""Water level (m)""]"	"{""Water temperature"": {""unit"": ""°C""}, ""Water level"": {""unit"": ""m""}}	"	"[""T-WL-BOX""]"	"[""https://registry.o2a-data.de/items/12898""]"	https://www.soop-platform.earth/marinas/	https://raw.githubusercontent.com/mopyn/SOOP-Data-Portal/main/images/marinas/Marina%20Avernakø.png
POINT(10.683500 53.873917)	Marina	Marina Lübeck The Newport	MA-LUEBECK-C1-25			" [""Water temperature (°C)"", ""Water level (m)""]"	"{""Water temperature"": {""unit"": ""°C""}, ""Water level"": {""unit"": ""m""}}	"	"[""T-WL-BOX""]"	"[""https://registry.o2a-data.de/items/12900""]"	https://www.soop-platform.earth/marinas/	https://raw.githubusercontent.com/mopyn/SOOP-Data-Portal/main/images/marinas/Marina%20Marina Lübeck The Newport.png
POINT(10.173816 54.430360)	Marina	Schilksee	MA-SCHILKSEE-C1-25			" [""Water temperature (°C)"", ""Water level (m)""]"	"{""Water temperature"": {""unit"": ""°C""}, ""Water level"": {""unit"": ""m""}}	"	"[""T-WL-BOX""]"	"[""https://registry.o2a-data.de/items/12897""]"	https://www.soop-platform.earth/marinas/	https://raw.githubusercontent.com/mopyn/SOOP-Data-Portal/main/images/marinas/Marina%20Schilksee.png
POINT(9.437661 54.790452)	Marina	Stadthafen Flensburg	MA-FLENSBURG-C1-25			" [""Water temperature (°C)"", ""Water level (m)""]"	"{""Water temperature"": {""unit"": ""°C""}, ""Water level"": {""unit"": ""m""}}	"	"[""T-WL-BOX""]"	"[""https://registry.o2a-data.de/items/12897""]"	https://www.soop-platform.earth/marinas/	https://raw.githubusercontent.com/mopyn/SOOP-Data-Portal/main/images/marinas/Marina%20Stadthafen Flensburg.png
POINT(9.939131 54.670476)	Marina	Werfthafen Stapelfeld	MA-STAPELFELD-C1-25			" [""Water temperature (°C)"", ""Water level (m)""]"	"{""Water temperature"": {""unit"": ""°C""}, ""Water level"": {""unit"": ""m""}}	"	"[""T-WL-BOX""]"	"[""https://registry.o2a-data.de/items/12897""]"	https://www.soop-platform.earth/marinas/	https://raw.githubusercontent.com/mopyn/SOOP-Data-Portal/main/images/marinas/Marina%20Werfthafen Stapelfeld.png
POINT(8.509517 53.603419)	Container Port	Container Port Bremerhaven	CP-BREMERHAVEN-C1-25			"[ ""Air pressure (hPa)"", ""Air Temperature (°C)"", ""Black Carbon (ng/m³)"", ""PM10 (g/cm³)"", ""Particle number (#/cm³)"" ]"	"{ ""Air pressure"": {""unit"": ""hPa""}, ""Air Temperature"": {""unit"": ""°C""}, ""Black Carbon"": {""unit"": ""ng/m³""}, ""PM10"": {""unit"": ""g/cm³""}, ""Particle number"": {""unit"": ""#/cm³""} }"	"[""Portable Atmospheric Measuring Box On Sea (PAMOS)""]"	"[""https://registry.o2a-data.de/items/12705""]"		
